account_key,account_id,location_key,currency,age_band,acquisition_channel,signup_date_key,customer_tier,account_status
1,ACC00000001,1,EGP,45-54,Organic,20240703,Standard,Active
2,ACC00000002,7,EGP,35-44,Branch,20230212,Standard,Dormant
3,ACC00000003,2,EGP,35-44,Branch,20231105,Standard,Active
4,ACC00000004,10,EGP,45-54,Branch,20230922,Business,Dormant
5,ACC00000005,1,EGP,45-54,Organic,20240825,Standard,Active
6,ACC00000006,3,EGP,18-24,Branch,20240724,Standard,Active
7,ACC00000007,1,EGP,25-34,Referral,20241111,Premium,Active
8,ACC00000008,1,EGP,18-24,Paid Social,20230507,Standard,Active
9,ACC00000009,1,EGP,45-54,Organic,20240221,Standard,Active
10,ACC00000010,2,EGP,45-54,Referral,20230219,Premium,Active
11,ACC00000011,1,EGP,35-44,Partner,20230918,Business,Active
12,ACC00000012,2,EGP,18-24,Branch,20240415,Standard,Active
13,ACC00000013,1,EGP,45-54,Referral,20230214,Standard,Active
14,ACC00000014,3,EGP,35-44,Paid Social,20230831,Standard,Active
15,ACC00000015,1,EGP,25-34,Referral,20240709,Standard,Active
16,ACC00000016,5,EGP,65+,Partner,20240509,Standard,Active
17,ACC00000017,1,EGP,45-54,Branch,20230920,Business,Active
18,ACC00000018,1,EGP,45-54,Influencer,20240604,Standard,Active
19,ACC00000019,11,EGP,45-54,Paid Social,20241001,Standard,Active
20,ACC00000020,1,EGP,25-34,Organic,20230112,Standard,Closed
21,ACC00000021,3,EGP,55-64,Referral,20240929,Standard,Active
22,ACC00000022,3,EGP,45-54,Referral,20240804,Premium,Active
23,ACC00000023,2,EGP,25-34,Branch,20231225,Standard,Active
24,ACC00000024,1,EGP,18-24,Influencer,20230721,Premium,Active
25,ACC00000025,1,EGP,25-34,Organic,20241212,Premium,Active
26,ACC00000026,6,EGP,35-44,Organic,20231222,Standard,Active
27,ACC00000027,2,EGP,18-24,Organic,20230514,Standard,Active
28,ACC00000028,2,EGP,45-54,Paid Social,20230518,Standard,Dormant
29,ACC00000029,14,EGP,25-34,Paid Social,20241020,Standard,Active
30,ACC00000030,1,EGP,65+,Organic,20240613,Standard,Active
31,ACC00000031,3,EGP,45-54,Branch,20240930,Standard,Active
32,ACC00000032,3,EGP,55-64,Branch,20240821,Premium,Active
33,ACC00000033,2,EGP,35-44,Organic,20240504,Standard,Active
34,ACC00000034,3,EGP,18-24,Paid Social,20241219,Standard,Active
35,ACC00000035,1,EGP,35-44,Influencer,20240122,Premium,Active
36,ACC00000036,1,EGP,35-44,Google Ads,20240513,Standard,Active
37,ACC00000037,5,EGP,18-24,Organic,20241011,Business,Active
38,ACC00000038,1,EGP,45-54,Paid Social,20240621,Premium,Active
39,ACC00000039,2,EGP,45-54,Referral,20241027,Premium,Active
40,ACC00000040,1,EGP,55-64,Branch,20240528,Standard,Active
41,ACC00000041,15,EGP,25-34,Organic,20240808,Standard,Active
42,ACC00000042,12,EGP,45-54,Organic,20230314,Standard,Active
43,ACC00000043,1,EGP,55-64,Referral,20230926,Standard,Active
44,ACC00000044,1,EGP,35-44,Google Ads,20231116,Standard,Active
45,ACC00000045,7,EGP,25-34,Organic,20230428,Standard,Dormant
46,ACC00000046,3,EGP,18-24,Referral,20230930,Standard,Active
47,ACC00000047,1,EGP,18-24,Paid Social,20230523,Premium,Active
48,ACC00000048,7,EGP,25-34,Partner,20231107,Standard,Active
49,ACC00000049,2,EGP,18-24,Referral,20240701,Standard,Active
50,ACC00000050,13,USD,45-54,Organic,20240112,Standard,Active
51,ACC00000051,1,EGP,18-24,Referral,20240116,Standard,Active
52,ACC00000052,3,EGP,25-34,Organic,20230910,Business,Active
53,ACC00000053,1,EGP,18-24,Google Ads,20231029,Standard,Active
54,ACC00000054,6,EGP,18-24,Branch,20241202,Premium,Active
55,ACC00000055,1,EGP,45-54,Google Ads,20240708,Standard,Active
56,ACC00000056,3,EGP,35-44,Organic,20240616,Standard,Active
57,ACC00000057,2,EGP,35-44,Referral,20230805,Premium,Active
58,ACC00000058,1,EGP,18-24,Paid Social,20240821,Standard,Active
59,ACC00000059,2,EGP,35-44,Influencer,20230729,Business,Closed
60,ACC00000060,2,EGP,18-24,Partner,20240122,Standard,Active
61,ACC00000061,7,EGP,65+,Partner,20241227,Standard,Active
62,ACC00000062,1,EGP,55-64,Google Ads,20240703,Standard,Active
63,ACC00000063,3,EGP,35-44,Referral,20240516,Standard,Active
