location_key,city,governorate,country
1,Cairo,Cairo,Egypt
2,Giza,Giza,Egypt
3,Alexandria,Alexandria,Egypt
4,Shubra El Kheima,Qalyubia,Egypt
5,Mansoura,Dakahlia,Egypt
6,Tanta,Gharbia,Egypt
7,Zagazig,Sharqia,Egypt
8,Port Said,Port Said,Egypt
9,Asyut,Asyut,Egypt
10,Minya,Minya,Egypt
11,Suez,Suez,Egypt
12,Ismailia,Ismailia,Egypt
13,Sohag,Sohag,Egypt
14,Hurghada,Red Sea,Egypt
15,Luxor,Luxor,Egypt
16,Aswan,Aswan,Egypt
17,Sharm El Sheikh,South Sinai,Egypt
18,Damanhur,Beheira,Egypt
19,Fayoum,Fayoum,Egypt
