merchant_key,location_key,merchant_id,merchant_name,merchant_category,merchant_size,opened_date_key
1,1,MER000001,Fathalla Market - Cairo #1,Grocery,Mid-Market,20231213
2,8,MER000002,LC Waikiki - Port Said #1,Fashion,Enterprise,20230224
3,1,MER000003,B.TECH - Cairo #1,Electronics,Enterprise,20230526
4,2,MER000004,Talabat - Giza #1,E-commerce,Enterprise,20240815
5,2,MER000005,Shell - Giza #1,Fuel,Enterprise,20241210
6,2,MER000006,2B - Giza #1,Electronics,Mid-Market,20240210
7,1,MER000007,McDonald's - Cairo #1,Restaurants,Enterprise,20231227
8,2,MER000008,Emarat Misr - Giza #1,Fuel,Enterprise,20231129
9,1,MER000009,Mobaco - Cairo #1,Fashion,Mid-Market,20230531
10,17,MER000010,Misr Petroleum - Sharm El Sheikh #1,Fuel,Enterprise,20231029
11,1,MER000011,Cook Door - Cairo #1,Restaurants,Mid-Market,20241008
12,1,MER000012,ADNOC - Cairo #1,Fuel,Enterprise,20230216
13,1,MER000013,Starbucks - Cairo #1,Restaurants,Enterprise,20240827
14,3,MER000014,Mobaco - Alexandria #1,Fashion,Mid-Market,20231026
15,1,MER000015,LC Waikiki - Cairo #1,Fashion,Enterprise,20240530
16,1,MER000016,Spinneys - Cairo #1,Grocery,Enterprise,20230918
17,1,MER000017,ADNOC - Cairo #2,Fuel,Enterprise,20241108
18,1,MER000018,Mobaco - Cairo #2,Fashion,Mid-Market,20230102
19,1,MER000019,GAD - Cairo #1,Restaurants,Mid-Market,20230619
20,1,MER000020,Max Fashion - Cairo #1,Fashion,Enterprise,20240929
21,1,MER000021,ADNOC - Cairo #3,Fuel,Enterprise,20240627
22,1,MER000022,B.TECH - Cairo #2,Electronics,Enterprise,20240614
23,9,MER000023,Town Team - Asyut #1,Fashion,Mid-Market,20240324
24,3,MER000024,Max Fashion - Alexandria #1,Fashion,Enterprise,20240630
25,1,MER000025,Starbucks - Cairo #2,Restaurants,Enterprise,20231218
26,16,MER000026,Emarat Misr - Aswan #1,Fuel,Enterprise,20240920
27,1,MER000027,Compu Me - Cairo #1,Electronics,SME,20231215
28,1,MER000028,Gourmet Egypt - Cairo #1,Grocery,SME,20240519
29,1,MER000029,Mo'men - Cairo #1,Restaurants,Mid-Market,20230321
30,2,MER000030,Noon - Giza #1,E-commerce,Enterprise,20230325
31,4,MER000031,Kheir Zaman - Shubra El Kheima #1,Grocery,Mid-Market,20240809
32,3,MER000032,Misr Petroleum - Alexandria #1,Fuel,Enterprise,20241228
33,1,MER000033,Lulu Hypermarket - Cairo #1,Grocery,Enterprise,20230511
34,9,MER000034,Noon - Asyut #1,E-commerce,Enterprise,20240528
35,6,MER000035,Cook Door - Tanta #1,Restaurants,Mid-Market,20241103
36,2,MER000036,Cook Door - Giza #1,Restaurants,Mid-Market,20231122
37,1,MER000037,Compu Me - Cairo #2,Electronics,SME,20231215
38,2,MER000038,WE - Giza #1,Telecom,Enterprise,20230811
39,2,MER000039,Defacto - Giza #1,Fashion,Enterprise,20230702
40,10,MER000040,Defacto - Minya #1,Fashion,Enterprise,20231102
41,1,MER000041,Hyper One - Cairo #1,Grocery,Enterprise,20241106
42,9,MER000042,Metro Market - Asyut #1,Grocery,Enterprise,20230323
43,1,MER000043,Seif Pharmacy - Cairo #1,Pharmacy,Enterprise,20240518
44,1,MER000044,McDonald's - Cairo #2,Restaurants,Enterprise,20240628
45,7,MER000045,KFC - Zagazig #1,Restaurants,Enterprise,20231205
46,3,MER000046,Tradeline - Alexandria #1,Electronics,Mid-Market,20240413
47,1,MER000047,El Ezaby Pharmacy - Cairo #1,Pharmacy,Enterprise,20230331
48,18,MER000048,KFC - Damanhur #1,Restaurants,Enterprise,20241120
49,1,MER000049,Tradeline - Cairo #1,Electronics,Mid-Market,20230407
50,2,MER000050,Cook Door - Giza #2,Restaurants,Mid-Market,20240802
51,3,MER000051,El Ezaby Pharmacy - Alexandria #1,Pharmacy,Enterprise,20230117
52,5,MER000052,Raya Shop - Mansoura #1,Electronics,Mid-Market,20240807
53,16,MER000053,Misr Petroleum - Aswan #1,Fuel,Enterprise,20240411
